"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"1"
"09/14/2023 13:29:59:199 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-512","512","-250","250"
"[run number]","OII","density","OOI","IOO","background","rule","III","OIO","IOI","OOO","auto-continue?","foreground","IIO","[step]","count patches with [pcolor = green]"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","0","1"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","0","1"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","0","1"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","1","4"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","1","4"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","0","1"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","0","1"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","1","1025"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","2","7"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","2","6"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","2","1027"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","1","3"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","0","1"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","3","2050"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","1","1024"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","2","5"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","3","13"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","3","12"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","2","1028"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","4","17"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","1","3"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","3","9"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","3","2048"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","4","14"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","5","26"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","4","11"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","4","2053"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","5","20"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","6","31"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","4","2054"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","5","15"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","5","3074"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","6","24"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","5","3075"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","6","19"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","6","3082"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","7","36"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","6","3080"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","2","5"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","8","38"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","7","4100"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","3","9"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","7","4101"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","9","44"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","8","4107"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","8","4106"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","7","27"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","7","43"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","10","48"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","9","5127"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","4","11"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","9","5126"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","8","29"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","8","50"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","11","60"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","10","5132"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","5","15"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","9","62"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","12","64"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","10","5135"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","11","6153"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","9","33"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","6","19"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","12","6158"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","10","37"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","11","6149"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","13","76"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","10","73"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","13","7179"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","7","27"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","12","6160"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","11","45"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","11","87"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","14","84"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","13","7176"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","14","7184"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","12","99"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","8","29"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","12","49"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","15","108"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","14","7191"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","15","8205"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","13","118"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","13","57"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","16","110"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","9","33"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","15","8203"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","16","8210"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","14","131"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","14","65"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","17","116"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","16","8217"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","17","9231"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","10","37"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","15","153"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","18","120"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","15","81"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","17","9230"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","18","9236"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","11","45"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","16","168"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","19","132"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","18","9246"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","16","83"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","19","10257"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","17","187"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","12","49"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","19","10254"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","20","136"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","17","87"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","20","10262"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","18","207"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","20","10269"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","21","148"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","13","57"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","18","91"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","21","11283"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","19","231"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","21","11281"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","22","156"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","22","11288"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","19","99"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","20","252"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","14","65"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","22","11304"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","23","12309"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","23","180"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","20","103"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","21","275"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","15","81"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","23","12305"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","24","12314"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","24","184"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","21","111"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","22","298"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","24","12325"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","16","83"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","25","196"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","25","13335"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","22","119"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","23","326"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","25","13335"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","17","87"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","26","13340"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","26","204"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","23","135"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","24","352"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","26","13353"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","27","14361"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","27","228"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","18","91"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","25","379"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","24","139"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","27","14353"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","28","14366"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","28","236"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","26","405"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","19","99"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","25","147"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","28","14385"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","29","15387"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","29","260"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","27","438"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","26","155"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","29","15381"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","20","103"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","30","15392"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","28","468"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","30","276"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","30","15411"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","27","171"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","21","111"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","31","16413"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","29","502"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","31","324"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","31","16407"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","28","179"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","32","16418"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","22","119"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","30","533"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","32","326"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","32","16435"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","29","195"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","33","17439"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","31","572"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","33","332"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","23","135"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","33","17430"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","30","211"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","34","17444"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","32","598"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","34","336"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","34","17463"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","24","139"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","35","18465"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","31","243"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","35","18461"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","33","637"
