"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"1"
"09/14/2023 13:30:17:461 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-512","512","-250","250"
"[run number]","1","2","3","4","5","6"
"OII","true","true","true","true","true","true"
"density","10","10","10","10","10","10"
"OOI","true","true","true","true","true","true"
"IOO","true","true","true","true","true","true"
"background","0","0","0","0","0","0"
"rule","18","22","26","30","45","61"
"III","true","true","true","true","true","true"
"OIO","true","true","true","true","true","true"
"IOI","true","true","true","true","true","true"
"OOO","true","true","true","true","true","true"
"auto-continue?","false","false","false","false","false","false"
"foreground","55","55","55","55","55","55"
"IIO","true","true","true","true","true","true"
"[reporter]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]"
"[final]","17443","23236","17443","126396","255797","256502"
"[min]","1","1","1","1","1","1"
"[max]","17443","23236","17443","126396","255797","256502"
"[mean]","6326.804391217564","8431.842315369262","6326.804391217564","42386.05788423154","128120.39920159681","128505.49500998003"
"[steps]","500","500","500","500","500","500"

"[all run data]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]"
,"1","1","1","1","1","1"
,"3","4","3","4","1024","1025"
,"5","6","5","7","1028","1027"
,"9","12","9","13","2048","2050"
,"11","14","11","17","2053","2054"
,"15","20","15","26","3074","3075"
,"19","24","19","31","3082","3080"
,"27","36","27","43","4100","4101"
,"29","38","29","50","4107","4106"
,"33","44","33","62","5126","5127"
,"37","48","37","73","5135","5132"
,"45","60","45","87","6149","6153"
,"49","64","49","99","6160","6158"
,"57","76","57","118","7176","7179"
,"65","84","65","131","7191","7184"
,"81","108","81","153","8203","8205"
,"83","110","83","168","8217","8210"
,"87","116","87","187","9230","9231"
,"91","120","91","207","9246","9236"
,"99","132","99","231","10254","10257"
,"103","136","103","252","10269","10262"
,"111","148","111","275","11281","11283"
,"119","156","119","298","11304","11288"
,"135","180","135","326","12305","12309"
,"139","184","139","352","12325","12314"
,"147","196","147","379","13335","13335"
,"155","204","155","405","13353","13340"
,"171","228","171","438","14353","14361"
,"179","236","179","468","14385","14366"
,"195","260","195","502","15381","15387"
,"211","276","211","533","15411","15392"
,"243","324","243","572","16407","16413"
,"245","326","245","598","16435","16418"
,"249","332","249","637","17430","17439"
,"253","336","253","666","17463","17444"
,"261","348","261","712","18461","18465"
,"265","352","265","744","18488","18470"
,"273","364","273","788","19490","19491"
,"281","372","281","826","19515","19496"
,"297","396","297","871","20514","20517"
,"301","400","301","918","20546","20522"
,"309","412","309","959","21535","21543"
,"317","420","317","1004","21573","21548"
,"333","444","333","1053","22565","22569"
,"341","452","341","1091","22593","22574"
,"357","476","357","1146","23589","23595"
,"373","492","373","1188","23625","23600"
,"405","540","405","1239","24612","24621"
,"409","544","409","1283","24650","24626"
,"417","556","417","1336","25637","25647"
,"425","564","425","1379","25680","25652"
,"441","588","441","1438","26661","26673"
,"449","596","449","1490","26700","26678"
,"465","620","465","1550","27683","27699"
,"481","636","481","1599","27726","27704"
,"513","684","513","1664","28705","28725"
,"521","692","521","1721","28749","28730"
,"537","716","537","1781","29733","29751"
,"553","732","553","1837","29784","29756"
,"585","780","585","1906","30757","30777"
,"601","796","601","1967","30805","30782"
,"633","844","633","2037","31786","31803"
,"665","876","665","2096","31826","31808"
,"729","972","729","2174","32803","32829"
,"731","974","731","2238","32844","32834"
,"735","980","735","2294","33820","33855"
,"739","984","739","2359","33870","33860"
,"747","996","747","2428","34843","34881"
,"751","1000","751","2497","34888","34886"
,"759","1012","759","2564","35865","35907"
,"767","1020","767","2641","35912","35912"
,"783","1044","783","2719","36887","36933"
,"787","1048","787","2792","36938","36938"
,"795","1060","795","2860","37906","37959"
,"803","1068","803","2943","37968","37964"
,"819","1092","819","3021","38932","38985"
,"827","1100","827","3099","38988","38990"
,"843","1124","843","3186","39961","40011"
,"859","1140","859","3266","40012","40016"
,"891","1188","891","3352","40972","41037"
,"895","1192","895","3440","41029","41042"
,"903","1204","903","3519","41985","42063"
,"911","1212","911","3600","42046","42068"
,"927","1236","927","3694","43017","43089"
,"935","1244","935","3775","43070","43094"
,"951","1268","951","3876","44038","44115"
,"967","1284","967","3954","44093","44120"
,"999","1332","999","4042","45052","45141"
,"1007","1340","1007","4133","45122","45146"
,"1023","1364","1023","4219","46078","46167"
,"1039","1380","1039","4305","46151","46172"
,"1071","1428","1071","4418","47097","47193"
,"1087","1444","1087","4497","47165","47198"
,"1119","1492","1119","4598","48123","48219"
,"1151","1524","1151","4688","48187","48224"
,"1215","1620","1215","4796","49143","49245"
,"1219","1624","1219","4890","49215","49250"
,"1227","1636","1227","4987","50162","50271"
,"1235","1644","1235","5086","50237","50276"
,"1251","1668","1251","5196","51180","51297"
,"1259","1676","1259","5299","51257","51302"
,"1275","1700","1275","5403","52200","52323"
,"1291","1716","1291","5506","52280","52328"
,"1323","1764","1323","5625","53218","53349"
,"1331","1772","1331","5720","53297","53354"
,"1347","1796","1347","5811","54240","54375"
,"1363","1812","1363","5913","54321","54380"
,"1395","1860","1395","6023","55255","55401"
,"1411","1876","1411","6134","55332","55406"
,"1443","1924","1443","6248","56291","56427"
,"1475","1956","1475","6359","56354","56432"
,"1539","2052","1539","6480","57295","57453"
,"1547","2060","1547","6595","57388","57458"
,"1563","2084","1563","6704","58313","58479"
,"1579","2100","1579","6824","58403","58484"
,"1611","2148","1611","6957","59341","59505"
,"1627","2164","1627","7070","59421","59510"
,"1659","2212","1659","7191","60364","60531"
,"1691","2244","1691","7314","60450","60536"
,"1755","2340","1755","7440","61381","61557"
,"1771","2356","1771","7562","61476","61562"
,"1803","2404","1803","7680","62411","62583"
,"1835","2436","1835","7803","62501","62588"
,"1899","2532","1899","7940","63430","63609"
,"1931","2564","1931","8062","63525","63614"
,"1995","2660","1995","8187","64450","64635"
,"2059","2724","2059","8316","64541","64640"
,"2187","2916","2187","8448","65469","65661"
,"2189","2918","2189","8580","65557","65666"
,"2193","2924","2193","8705","66489","66687"
,"2197","2928","2197","8826","66587","66692"
,"2205","2940","2205","8970","67512","67713"
,"2209","2944","2209","9094","67613","67718"
,"2217","2956","2217","9231","68539","68739"
,"2225","2964","2225","9362","68636","68744"
,"2241","2988","2241","9510","69560","69765"
,"2245","2992","2245","9647","69654","69770"
