"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"2"
"09/15/2023 12:36:49:661 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-256","256","-100","100"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7"
"OII","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"density","10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,
"OOI","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"IOO","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"background","0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,
"rule","18",,,"22",,,"26",,,"30",,,"45",,,"61",,,"235",,
"III","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"OIO","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"IOI","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"OOO","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"auto-continue?","false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,
"foreground","55",,,"55",,,"55",,,"55",,,"55",,,"55",,,"55",,
"IIO","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"[reporter]","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda"
"[final]","24956","0.24202573875263061","0.2857142857142857","35817","0.34735678333478803","0.42857142857142855","25584","0.24811614442407845","0.42857142857142855","50874","0.4933810479764918","0.5714285714285714","51564","0.5000727357365221","0.42857142857142855","54697","0.5304568774063406","0.5714285714285714","102509","0.9941423486854228","0.7142857142857143"
"[min]","42","0","0.2857142857142857","59","0","0.42857142857142855","58","0","0.42857142857142855","49","0","0.5714285714285714","56","0","0.42857142857142855","50","0","0.5714285714285714","42","0","0.7142857142857143"
"[max]","24956","0.24202573875263061","0.2857142857142857","35817","0.34801413255360625","0.42857142857142855","25584","0.24914717348927876","0.42857142857142855","50874","0.493392890377815","0.5714285714285714","51564","0.5042735042735043","0.42857142857142855","54697","0.5313450292397661","0.5714285714285714","102509","0.9941423486854228","0.7142857142857143"
"[mean]","12215.810945273632","0.2242327254561104","0.2857142857142851","17597.731343283584","0.3244014341796771","0.4285714285714296","12821.253731343284","0.24294318140535764","0.4285714285714296","25201.512437810947","0.4668916002107367","0.5714285714285702","25939.731343283584","0.4970346375193283","0.4285714285714296","27442.960199004974","0.5237595072988708","0.5714285714285702","51209.99004975124","0.966718528852265","0.7142857142857126"
"[steps]","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"

"[all run data]","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda","count patches with [pcolor = green]","APAC","lambda"
,"42","0","0.2857142857142857","59","0","0.42857142857142855","58","0","0.42857142857142855","49","0","0.5714285714285714","56","0","0.42857142857142855","50","0","0.5714285714285714","42","0","0.7142857142857143"
,"114","0.1111111111111111","0.2857142857142857","182","0.17738791423001948","0.42857142857142855","154","0.15009746588693956","0.42857142857142855","184","0.1793372319688109","0.5714285714285714","474","0.4619883040935672","0.42857142857142855","519","0.5058479532163743","0.5714285714285714","475","0.46296296296296297","0.7142857142857143"
,"182","0.11825860948667966","0.2857142857142857","297","0.19298245614035087","0.42857142857142855","252","0.16374269005847952","0.42857142857142855","301","0.19558154645873943","0.5714285714285714","640","0.4158544509421702","0.42857142857142855","607","0.39441195581546457","0.5714285714285714","945","0.6140350877192983","0.7142857142857143"
,"298","0.145224171539961","0.2857142857142857","462","0.22514619883040934","0.42857142857142855","401","0.19541910331384016","0.42857142857142855","523","0.2548732943469786","0.5714285714285714","949","0.4624756335282651","0.42857142857142855","1036","0.5048732943469786","0.5714285714285714","1451","0.7071150097465887","0.7142857142857143"
,"360","0.14035087719298245","0.2857142857142857","560","0.21832358674463936","0.42857142857142855","490","0.19103313840155944","0.42857142857142855","666","0.2596491228070175","0.5714285714285714","1142","0.445224171539961","0.42857142857142855","1190","0.46393762183235865","0.5714285714285714","1961","0.764522417153996","0.7142857142857143"
,"456","0.14814814814814814","0.2857142857142857","713","0.23164392462638075","0.42857142857142855","617","0.200454840805718","0.42857142857142855","942","0.3060428849902534","0.5714285714285714","1509","0.4902534113060429","0.42857142857142855","1560","0.50682261208577","0.5714285714285714","2474","0.8037686809616634","0.7142857142857143"
,"556","0.15483152325257588","0.2857142857142857","865","0.24087997772208297","0.42857142857142855","751","0.20913394597605123","0.42857142857142855","1100","0.3063213589529379","0.5714285714285714","1725","0.4803675856307435","0.42857142857142855","1734","0.4828738512949039","0.5714285714285714","2987","0.8318017265385687","0.7142857142857143"
,"684","0.16666666666666666","0.2857142857142857","1000","0.24366471734892786","0.42857142857142855","928","0.22612085769980506","0.42857142857142855","1393","0.3394249512670565","0.5714285714285714","2021","0.49244639376218324","0.42857142857142855","2110","0.5141325536062378","0.5714285714285714","3500","0.8528265107212476","0.7142857142857143"
,"754","0.1633095083387481","0.2857142857142857","1139","0.24669698938704787","0.42857142857142855","1009","0.2185401776045051","0.42857142857142855","1583","0.34286333116742473","0.5714285714285714","2256","0.48862897985705","0.42857142857142855","2277","0.49317738791423","0.5714285714285714","4013","0.8691791206411089","0.7142857142857143"
,"850","0.16569200779727095","0.2857142857142857","1295","0.2524366471734893","0.42857142857142855","1127","0.21968810916179338","0.42857142857142855","1840","0.3586744639376218","0.5714285714285714","2544","0.495906432748538","0.42857142857142855","2654","0.5173489278752437","0.5714285714285714","4526","0.8822612085769981","0.7142857142857143"
,"960","0.17012227538543329","0.2857142857142857","1455","0.2578415736310473","0.42857142857142855","1250","0.22151337940811625","0.42857142857142855","2081","0.3687754740386319","0.5714285714285714","2794","0.4951267056530214","0.42857142857142855","2826","0.5007974481658692","0.5714285714285714","5039","0.8929647350699982","0.7142857142857143"
,"1106","0.17966211825860948","0.2857142857142857","1615","0.2623456790123457","0.42857142857142855","1419","0.23050682261208577","0.42857142857142855","2327","0.37800519818063677","0.5714285714285714","3067","0.49821312540610785","0.42857142857142855","3198","0.5194931773879142","0.5714285714285714","5552","0.9018843404808317","0.7142857142857143"
,"1194","0.17903733693207377","0.2857142857142857","1765","0.2646573699205278","0.42857142857142855","1531","0.2295696506222822","0.42857142857142855","2562","0.3841655420602789","0.5714285714285714","3311","0.49647623331833857","0.42857142857142855","3371","0.5054730844204528","0.5714285714285714","6065","0.9094316989053831","0.7142857142857143"
,"1306","0.1818434976329713","0.2857142857142857","1920","0.2673350041771094","0.42857142857142855","1669","0.23238652186020606","0.42857142857142855","2840","0.39543302701197436","0.5714285714285714","3598","0.5009746588693957","0.42857142857142855","3743","0.5211640211640212","0.5714285714285714","6578","0.9159008632692843","0.7142857142857143"
,"1430","0.18583495776478232","0.2857142857142857","2085","0.2709551656920078","0.42857142857142855","1826","0.23729694606887589","0.42857142857142855","3095","0.40220922677063026","0.5714285714285714","3860","0.5016244314489928","0.42857142857142855","3919","0.5092917478882392","0.5714285714285714","7091","0.9215074723846653","0.7142857142857143"
,"1578","0.1922514619883041","0.2857142857142857","2242","0.27314814814814814","0.42857142857142855","2014","0.24537037037037038","0.42857142857142855","3372","0.4108187134502924","0.5714285714285714","4120","0.5019493177387915","0.42857142857142855","4286","0.5221734892787524","0.5714285714285714","7604","0.9264132553606238","0.7142857142857143"
,"1654","0.1896571494094714","0.2857142857142857","2377","0.27256048618277723","0.42857142857142855","2094","0.24011007911936705","0.42857142857142855","3602","0.41302602912510034","0.5714285714285714","4375","0.5016626533654397","0.42857142857142855","4466","0.5120972365554409","0.5714285714285714","8117","0.9307418873982342","0.7142857142857143"
,"1758","0.1903833658219623","0.2857142857142857","2524","0.27333766515053065","0.42857142857142855","2204","0.23868312757201646","0.42857142857142855","3855","0.4174788823911631","0.5714285714285714","4636","0.5020576131687243","0.42857142857142855","4831","0.5231752220056314","0.5714285714285714","8630","0.9345895603205545","0.7142857142857143"
,"1864","0.19123832974248486","0.2857142857142857","2701","0.27711090591977017","0.42857142857142855","2320","0.238021955473479","0.42857142857142855","4111","0.4217708012721863","0.5714285714285714","4897","0.5024109982558737","0.42857142857142855","5011","0.5141069046886222","0.5714285714285714","9143","0.9380322150405253","0.7142857142857143"
,"1986","0.1935672514619883","0.2857142857142857","2865","0.27923976608187134","0.42857142857142855","2479","0.24161793372319687","0.42857142857142855","4372","0.42612085769980507","0.5714285714285714","5155","0.5024366471734892","0.42857142857142855","5379","0.5242690058479532","0.5714285714285714","9656","0.941130604288499","0.7142857142857143"
,"2082","0.19326093010303536","0.2857142857142857","3038","0.2820012995451592","0.42857142857142855","2579","0.23939478325443236","0.42857142857142855","4660","0.43256288870323956","0.5714285714285714","5400","0.5012531328320802","0.42857142857142855","5555","0.5156409542374455","0.5714285714285714","10169","0.9439339088461896","0.7142857142857143"
,"2190","0.19404572036150983","0.2857142857142857","3203","0.28380294169767856","0.42857142857142855","2707","0.23985468722310826","0.42857142857142855","4884","0.4327485380116959","0.5714285714285714","5676","0.5029239766081871","0.42857142857142855","5925","0.5249867091972356","0.5714285714285714","10682","0.9464823675349991","0.7142857142857143"
,"2330","0.19747436223408762","0.2857142857142857","3394","0.28765149588948213","0.42857142857142855","2837","0.24044410543266378","0.42857142857142855","5168","0.43800322061191627","0.5714285714285714","5942","0.5036020001695058","0.42857142857142855","6102","0.517162471395881","0.5714285714285714","11195","0.948809221120434","0.7142857142857143"
,"2446","0.19866796621182586","0.2857142857142857","3558","0.28898635477582846","0.42857142857142855","3002","0.24382716049382716","0.42857142857142855","5412","0.4395711500974659","0.5714285714285714","6186","0.5024366471734892","0.42857142857142855","6469","0.5254223521767382","0.5714285714285714","11708","0.9509421702404158","0.7142857142857143"
,"2544","0.1983625730994152","0.2857142857142857","3713","0.28951267056530217","0.42857142857142855","3092","0.2410916179337232","0.42857142857142855","5672","0.4422612085769981","0.5714285714285714","6453","0.5031578947368421","0.42857142857142855","6649","0.5184405458089668","0.5714285714285714","12221","0.9529044834307993","0.7142857142857143"
,"2660","0.19943019943019943","0.2857142857142857","3884","0.2911980806717649","0.42857142857142855","3215","0.2410406357774779","0.42857142857142855","5917","0.4436197330934173","0.5714285714285714","6726","0.5042735042735043","0.42857142857142855","7014","0.5258659469185785","0.5714285714285714","12734","0.9547158494526916","0.7142857142857143"
,"2792","0.20157389358169087","0.2857142857142857","4071","0.29391379683777347","0.42857142857142855","3340","0.24113782398382788","0.42857142857142855","6181","0.44624936827665873","0.5714285714285714","6974","0.5035015522344957","0.42857142857142855","7195","0.5194570789112699","0.5714285714285714","13247","0.956393040213703","0.7142857142857143"
,"2916","0.20300751879699247","0.2857142857142857","4250","0.2958785853522696","0.42857142857142855","3502","0.2438039543302701","0.42857142857142855","6435","0.44799498746867167","0.5714285714285714","7220","0.5026455026455027","0.42857142857142855","7560","0.5263157894736842","0.5714285714285714","13760","0.9579504316346421","0.7142857142857143"
,"3036","0.20407340189554346","0.2857142857142857","4416","0.2968340391207905","0.42857142857142855","3609","0.2425892316999395","0.42857142857142855","6701","0.4504268333669423","0.5714285714285714","7482","0.5029239766081871","0.42857142857142855","7741","0.5203334005511864","0.5714285714285714","14273","0.959400416750689","0.7142857142857143"
,"3158","0.20519818063677714","0.2857142857142857","4601","0.2989603638726446","0.42857142857142855","3745","0.2433398310591293","0.42857142857142855","6952","0.45172189733593243","0.5714285714285714","7747","0.5033788174139051","0.42857142857142855","8106","0.5267056530214425","0.5714285714285714","14786","0.9607537361923327","0.7142857142857143"
,"3306","0.2078853046594982","0.2857142857142857","4810","0.3024586555995724","0.42857142857142855","3898","0.24511098534867634","0.42857142857142855","7224","0.45425391435578194","0.5714285714285714","7997","0.5028610953908068","0.42857142857142855","8287","0.5210966484311136","0.5714285714285714","15299","0.9620197447022575","0.7142857142857143"
,"3432","0.20906432748538012","0.2857142857142857","5007","0.3050073099415205","0.42857142857142855","4072","0.24805068226120858","0.42857142857142855","7476","0.4554093567251462","0.5714285714285714","8251","0.5026193957115009","0.42857142857142855","8652","0.527046783625731","0.5714285714285714","15812","0.9632066276803118","0.7142857142857143"
,"3524","0.20816350640912046","0.2857142857142857","5168","0.3052749719416386","0.42857142857142855","4144","0.24478705180459567","0.42857142857142855","7737","0.45702640439482545","0.5714285714285714","8514","0.5029239766081871","0.42857142857142855","8833","0.5217673814165043","0.5714285714285714","16325","0.9643215783566661","0.7142857142857143"
,"3640","0.20869166380002294","0.2857142857142857","5327","0.30541222336887974","0.42857142857142855","4247","0.24349271872491687","0.42857142857142855","7981","0.4575736727439514","0.5714285714285714","8767","0.5026373122348354","0.42857142857142855","9198","0.5273477812177503","0.5714285714285714","16838","0.965370943699117","0.7142857142857143"
,"3752","0.20896686159844055","0.2857142857142857","5519","0.307379560011139","0.42857142857142855","4355","0.2425508214981899","0.42857142857142855","8246","0.45925925925925926","0.5714285714285714","9034","0.5031467557783347","0.42857142857142855","9379","0.5223614592035645","0.5714285714285714","17351","0.9663603453077138","0.7142857142857143"
,"3900","0.2111760883690708","0.2857142857142857","5697","0.3084795321637427","0.42857142857142855","4516","0.24453108078839073","0.42857142857142855","8498","0.4601472817847087","0.5714285714285714","9282","0.5025990903183886","0.42857142857142855","9744","0.5276153346328785","0.5714285714285714","17864","0.9672947801602773","0.7142857142857143"
,"3992","0.21031557873663137","0.2857142857142857","5866","0.30904588799325644","0.42857142857142855","4610","0.24287445340076919","0.42857142857142855","8764","0.46172488277751433","0.5714285714285714","9539","0.5025551867657131","0.42857142857142855","9925","0.5228913123649965","0.5714285714285714","18377","0.9681787050208103","0.7142857142857143"
,"4126","0.21165486816456344","0.2857142857142857","6059","0.31081358366676926","0.42857142857142855","4734","0.24284395198522624","0.42857142857142855","9015","0.46244998461064946","0.5714285714285714","9792","0.5023084025854109","0.42857142857142855","10290","0.5278547245306248","0.5714285714285714","18890","0.9690161075202627","0.7142857142857143"
,"4252","0.21252561603438797","0.2857142857142857","6211","0.3104413455290648","0.42857142857142855","4865","0.2431648922876993","0.42857142857142855","9248","0.4622382166241815","0.5714285714285714","10049","0.50227420402859","0.42857142857142855","10471","0.5233668216124356","0.5714285714285714","19403","0.9698105663017944","0.7142857142857143"
,"4392","0.21403508771929824","0.2857142857142857","6399","0.3118421052631579","0.42857142857142855","5036","0.24541910331384015","0.42857142857142855","9520","0.46393762183235865","0.5714285714285714","10307","0.5022904483430799","0.42857142857142855","10836","0.5280701754385965","0.5714285714285714","19916","0.9705653021442495","0.7142857142857143"
,"4494","0.21366424190557695","0.2857142857142857","6567","0.312223648552275","0.42857142857142855","5121","0.24347454000855798","0.42857142857142855","9766","0.4643179765130985","0.5714285714285714","10561","0.5021157229116151","0.42857142857142855","11017","0.5237959397137831","0.5714285714285714","20429","0.9712832216041458","0.7142857142857143"
,"4610","0.2139608279959157","0.2857142857142857","6782","0.3147684024877007","0.42857142857142855","5239","0.24315418175067297","0.42857142857142855","10028","0.46542281630000926","0.5714285714285714","10816","0.5019957300659055","0.42857142857142855","11382","0.5282651072124757","0.5714285714285714","20942","0.9719669544230948","0.7142857142857143"
,"4746","0.21515027879776963","0.2857142857142857","6938","0.3145201505054626","0.42857142857142855","5361","0.24303005575955391","0.42857142857142855","10281","0.46606827145382834","0.5714285714285714","11087","0.5026066458135001","0.42857142857142855","11563","0.5241851398522145","0.5714285714285714","21455","0.972618885715581","0.7142857142857143"
,"4852","0.214956583377636","0.2857142857142857","7093","0.3142388800283537","0.42857142857142855","5528","0.24490519227361332","0.42857142857142855","10559","0.46779195463405987","0.5714285714285714","11321","0.5015505936558569","0.42857142857142855","11928","0.5284423179160022","0.5714285714285714","21968","0.9732411837674996","0.7142857142857143"
,"4970","0.21529131470651938","0.2857142857142857","7257","0.3143599740090968","0.42857142857142855","5640","0.244314489928525","0.42857142857142855","10814","0.4684427117175655","0.5714285714285714","11584","0.5017977041368854","0.42857142857142855","12109","0.5245397444227854","0.5714285714285714","22481","0.9738358241282218","0.7142857142857143"
,"5096","0.21595050428002374","0.2857142857142857","7431","0.3148995677599797","0.42857142857142855","5777","0.2448088821086533","0.42857142857142855","11066","0.4689380455970845","0.5714285714285714","11845","0.5019493177387915","0.42857142857142855","12474","0.528604118993135","0.5714285714285714","22994","0.974404610560217","0.7142857142857143"
,"5222","0.21658164323337895","0.2857142857142857","7621","0.31607979760275395","0.42857142857142855","5930","0.2459458338517689","0.42857142857142855","11307","0.46895607813860896","0.5714285714285714","12102","0.5019285803160384","0.42857142857142855","12655","0.5248641698809672","0.5714285714285714","23507","0.9749491933142549","0.7142857142857143"
,"5358","0.2175925925925926","0.2857142857142857","7818","0.317495126705653","0.42857142857142855","6117","0.24841617933723198","0.42857142857142855","11573","0.46998862897985705","0.5714285714285714","12348","0.5014619883040936","0.42857142857142855","13020","0.5287524366471735","0.5714285714285714","24020","0.975471085120208","0.7142857142857143"
